date,ticker,close
2021-07-09,XLV,119.71
2021-07-09,XLY,87.91
2021-07-09,XLP,62.25
2021-07-09,XLI,96.47
2021-07-09,XLE,22.33
2021-07-09,XLU,28.16
2021-07-09,XLRE,39.44
2021-07-09,XLB,37.89
2021-07-09,XLC,78.0
2021-07-09,SPY,408.1
2021-07-12,XLK,73.05
2021-07-12,XLF,34.29
2021-07-12,XLV,119.94
2021-07-12,XLY,88.52
2021-07-12,XLP,62.15
2021-07-12,XLI,96.6
2021-07-12,XLE,22.3
2021-07-12,XLU,28.25
2021-07-12,XLRE,39.79
2021-07-12,XLB,38.01
2021-07-12,XLC,78.55
2021-07-12,SPY,409.56
2021-07-13,XLK,73.35
2021-07-13,XLF,33.92
2021-07-13,XLV,119.83
2021-07-13,XLY,87.46
2021-07-13,XLP,62.13
2021-07-13,XLI,95.67
2021-07-13,XLE,22.13
2021-07-13,XLU,28.04
2021-07-13,XLRE,39.27
2021-07-13,XLB,37.66
2021-07-13,XLC,78.35
2021-07-13,SPY,408.16
2021-07-14,XLK,73.89
2021-07-14,XLF,33.76
2021-07-14,XLV,119.72
2021-07-14,XLY,87.3
2021-07-14,XLP,62.68
2021-07-14,XLI,95.66
2021-07-14,XLE,21.47
2021-07-14,XLU,28.28
2021-07-14,XLRE,39.62
2021-07-14,XLB,37.58
2021-07-14,XLC,78.29
2021-07-14,SPY,408.77
2021-07-15,XLK,73.28
2021-07-15,XLF,33.87
2021-07-15,XLV,119.3
2021-07-15,XLY,86.83
2021-07-15,XLP,62.94
2021-07-15,XLI,95.84
2021-07-15,XLE,21.17
2021-07-15,XLU,28.6
2021-07-15,XLRE,39.68
2021-07-15,XLB,37.59
2021-07-15,XLC,77.74
2021-07-15,SPY,407.38
2021-07-16,XLK,72.56
2021-07-16,XLF,33.41
2021-07-16,XLV,119.62
2021-07-16,XLY,85.76
2021-07-16,XLP,63.04
2021-07-16,XLI,95.0
2021-07-16,XLE,20.57
2021-07-16,XLU,28.89
